Sample Index,I (In-phase),Q (Quadrature),FFT Size
0,0.9372549019607843,-0.8823529411764706,8192
1,0.8117647058823529,-0.9843137254901961,
2,0.7411764705882353,-1.0,
3,0.5607843137254902,-1.0,
4,0.5372549019607842,-1.0,
5,0.3803921568627451,-1.0,
6,0.19999999999999996,-1.0,
7,0.0352941176470587,-1.0,
8,-0.03529411764705881,-1.0,
9,-0.21568627450980393,-1.0,
10,-0.3568627450980393,-1.0,
11,-0.48235294117647065,-1.0,
12,-0.592156862745098,-1.0,
13,-0.7254901960784313,-1.0,
14,-0.8431372549019608,-0.9529411764705882,
15,-0.9372549019607843,-0.8901960784313725,
16,-1.0,-0.7725490196078432,
17,-1.0,-0.6784313725490196,
18,-1.0,-0.5607843137254902,
19,-1.0,-0.4509803921568627,
20,-1.0,-0.2705882352941177,
21,-1.0,-0.22352941176470587,
22,-1.0,-0.1215686274509804,
23,-1.0,0.0352941176470587,
24,-1.0,0.1215686274509804,
25,-1.0,0.1215686274509804,
26,-1.0,0.44313725490196076,
27,-1.0,0.5058823529411764,
28,-1.0,0.607843137254902,
29,-1.0,0.7254901960784315,
30,-0.9529411764705882,0.8509803921568628,
31,-0.8901960784313725,0.9294117647058824,
32,-0.7647058823529411,1.0,
33,-0.7019607843137254,1.0,
34,-0.5450980392156863,1.0,
35,-0.48235294117647065,1.0,
36,-0.3176470588235294,1.0,
37,-0.22352941176470587,1.0,
38,-0.050980392156862786,1.0,
39,0.019607843137254832,1.0,
40,0.13725490196078427,1.0,
41,0.23921568627450984,1.0,
42,0.34901960784313735,1.0,
43,0.4901960784313726,1.0,
44,0.5137254901960784,1.0,
45,0.6705882352941177,1.0,
46,0.7254901960784315,1.0,
47,0.8823529411764706,0.9372549019607843,
48,0.9137254901960783,0.8901960784313725,
49,1.0,0.7568627450980392,
50,1.0,0.6549019607843136,
51,1.0,0.5294117647058822,
52,1.0,0.4274509803921569,
53,1.0,0.2941176470588236,
54,1.0,0.2313725490196079,
55,1.0,0.04313725490196085,
56,1.0,0.04313725490196085,
57,1.0,-0.13725490196078427,
58,1.0,-0.26274509803921564,
59,1.0,-0.43529411764705883,
60,1.0,-0.4666666666666667,
61,1.0,-0.6235294117647059,
62,1.0,-0.7568627450980392,
63,0.9450980392156862,-0.8745098039215686,
64,0.8509803921568628,-0.9529411764705882,
65,0.7019607843137254,-1.0,
66,0.5450980392156863,-1.0,
67,0.37254901960784315,-1.0,
68,0.21568627450980382,-1.0,
69,0.07450980392156858,-1.0,
70,-0.07450980392156858,-1.0,
71,-0.14509803921568631,-1.0,
72,-0.3019607843137255,-1.0,
73,-0.2941176470588236,-1.0,
74,-0.403921568627451,-1.0,
75,-0.4666666666666667,-1.0,
76,-0.388235294117647,-1.0,
77,-0.403921568627451,-1.0,
78,-0.5450980392156863,-1.0,
79,-0.4980392156862745,-1.0,
80,-0.45882352941176474,-1.0,
81,-0.5137254901960784,-1.0,
82,-0.592156862745098,-1.0,
83,-0.592156862745098,-1.0,
84,-0.4980392156862745,-1.0,
85,-0.4980392156862745,-1.0,
86,-0.6627450980392157,-1.0,
87,-0.6392156862745098,-1.0,
88,-0.592156862745098,-1.0,
89,-0.6862745098039216,-1.0,
90,-0.7490196078431373,-1.0,
91,-0.6862745098039216,-1.0,
92,-0.7647058823529411,-1.0,
93,-0.8666666666666667,-0.9607843137254902,
94,-0.8196078431372549,-1.0,
95,-0.8431372549019608,-0.9607843137254902,
96,-0.9450980392156862,-0.8745098039215686,
97,-0.9215686274509804,-0.9058823529411765,
98,-0.9058823529411765,-0.9058823529411765,
99,-1.0,-0.7960784313725491,
100,-1.0,-0.803921568627451,
101,-0.9529411764705882,-0.8666666666666667,
102,-1.0,-0.7647058823529411,
103,-0.9921568627450981,-0.7960784313725491,
104,-0.9921568627450981,-0.803921568627451,
105,-1.0,-0.6470588235294118,
106,-1.0,-0.6392156862745098,
107,-1.0,-0.6,
108,-1.0,-0.6941176470588235,
109,-1.0,-0.5686274509803921,
110,-1.0,-0.4901960784313726,
111,-1.0,-0.5529411764705883,
112,-1.0,-0.4509803921568627,
113,-1.0,-0.3647058823529412,
114,-1.0,-0.43529411764705883,
115,-1.0,-0.4274509803921569,
116,-1.0,-0.23921568627450984,
117,-1.0,-0.2784313725490196,
118,-1.0,-0.3254901960784313,
119,-1.0,-0.22352941176470587,
120,-1.0,-0.14509803921568631,
121,-1.0,-0.2313725490196079,
122,-1.0,-0.1843137254901961,
123,-1.0,-0.08235294117647063,
124,-1.0,-0.07450980392156858,
125,-1.0,-0.11372549019607847,
126,-1.0,0.04313725490196085,
127,-1.0,0.08235294117647052,
128,-1.0,-0.0117647058823529,
129,-1.0,0.08235294117647052,
130,-1.0,0.21568627450980382,
131,-1.0,0.12941176470588234,
132,-1.0,0.15294117647058814,
133,-1.0,0.3019607843137255,
134,-1.0,0.2784313725490195,
135,-1.0,0.21568627450980382,
136,-1.0,0.41960784313725497,
137,-1.0,0.4274509803921569,
138,-1.0,0.3568627450980393,
139,-1.0,0.44313725490196076,
140,-1.0,0.5450980392156863,
141,-1.0,0.4745098039215687,
142,-1.0,0.4509803921568627,
143,-1.0,0.5607843137254902,
144,-1.0,0.607843137254902,
145,-1.0,0.5764705882352941,
146,-1.0,0.6549019607843136,
147,-1.0,0.7019607843137254,
148,-1.0,0.6705882352941177,
149,-1.0,0.6941176470588235,
150,-0.9686274509803922,0.8509803921568628,
151,-1.0,0.7960784313725491,
152,-1.0,0.780392156862745,
153,-0.9294117647058824,0.8745098039215686,
154,-0.9137254901960784,0.9137254901960783,
155,-0.9686274509803922,0.8509803921568628,
156,-0.8666666666666667,0.9372549019607843,
157,-0.8274509803921568,0.9921568627450981,
158,-0.8666666666666667,0.9607843137254901,
159,-0.9137254901960784,0.9058823529411764,
160,-0.7725490196078432,1.0,
161,-0.7568627450980392,1.0,
162,-0.7254901960784313,1.0,
163,-0.5843137254901961,1.0,
164,-0.6392156862745098,1.0,
165,-0.6470588235294118,1.0,
166,-0.5372549019607843,1.0,
167,-0.5058823529411764,1.0,
168,-0.5294117647058824,1.0,
169,-0.4901960784313726,1.0,
170,-0.403921568627451,1.0,
171,-0.4274509803921569,1.0,
172,-0.4509803921568627,1.0,
