Sample Index,I (In-phase),Q (Quadrature),FFT Size
0,-1.0,-0.4980392156862745,4096
1,-1.0,-0.34901960784313724,
2,-1.0,-0.5372549019607843,
3,-1.0,-0.4274509803921569,
4,-1.0,-0.22352941176470587,
5,-1.0,-0.2941176470588236,
6,-1.0,-0.3019607843137255,
7,-1.0,-0.16862745098039222,
8,-1.0,-0.12941176470588234,
9,-1.0,-0.207843137254902,
10,-1.0,-0.13725490196078427,
11,-1.0,-0.0039215686274509665,
12,-1.0,-0.09019607843137256,
13,-1.0,-0.019607843137254943,
14,-1.0,0.1215686274509804,
15,-1.0,0.07450980392156858,
16,-1.0,0.04313725490196085,
17,-1.0,0.16862745098039222,
18,-1.0,0.2313725490196079,
19,-1.0,0.1450980392156862,
20,-1.0,0.30980392156862746,
21,-1.0,0.3803921568627451,
22,-1.0,0.2784313725490195,
23,-1.0,0.44313725490196076,
24,-1.0,0.5058823529411764,
25,-1.0,0.44313725490196076,
26,-1.0,0.5058823529411764,
27,-1.0,0.5921568627450979,
28,-1.0,0.5607843137254902,
29,-1.0,0.615686274509804,
30,-1.0,0.7333333333333334,
31,-1.0,0.7019607843137254,
32,-1.0,0.6862745098039216,
33,-0.9921568627450981,0.8117647058823529,
34,-1.0,0.8196078431372549,
35,-1.0,0.7647058823529411,
36,-0.9529411764705882,0.8509803921568628,
37,-0.8901960784313725,0.9372549019607843,
38,-0.9607843137254902,0.8588235294117648,
39,-0.8666666666666667,0.9372549019607843,
40,-0.7960784313725491,1.0,
41,-0.8431372549019608,0.9764705882352942,
42,-0.8666666666666667,0.9529411764705882,
43,-0.7019607843137254,1.0,
44,-0.7333333333333334,1.0,
45,-0.7254901960784313,1.0,
46,-0.5529411764705883,1.0,
47,-0.592156862745098,1.0,
48,-0.6313725490196078,1.0,
49,-0.5137254901960784,1.0,
50,-0.4509803921568627,1.0,
51,-0.5450980392156863,1.0,
52,-0.48235294117647065,1.0,
53,-0.34901960784313724,1.0,
54,-0.4117647058823529,1.0,
55,-0.41960784313725497,1.0,
56,-0.24705882352941178,1.0,
57,-0.24705882352941178,1.0,
58,-0.3019607843137255,1.0,
59,-0.12941176470588234,1.0,
60,-0.10588235294117654,1.0,
61,-0.15294117647058825,1.0,
62,-0.019607843137254943,1.0,
63,0.027450980392156765,1.0,
64,-0.03529411764705881,1.0,
65,0.050980392156862786,1.0,
66,0.19215686274509802,1.0,
67,0.09019607843137245,1.0,
68,0.16078431372549007,1.0,
69,0.2784313725490195,1.0,
70,0.2549019607843137,1.0,
71,0.1843137254901961,1.0,
72,0.3254901960784313,1.0,
73,0.39607843137254894,1.0,
74,0.3176470588235294,1.0,
75,0.4274509803921569,1.0,
76,0.5450980392156863,1.0,
77,0.30980392156862746,1.0,
78,0.5686274509803921,1.0,
79,0.6784313725490196,1.0,
80,0.607843137254902,1.0,
81,0.6470588235294117,1.0,
82,0.7725490196078431,1.0,
83,0.7176470588235293,1.0,
84,0.7490196078431373,1.0,
85,0.8901960784313725,0.9215686274509804,
86,0.8431372549019607,0.9764705882352942,
87,0.8352941176470587,0.9764705882352942,
88,0.9529411764705882,0.8509803921568628,
89,0.9450980392156862,0.8745098039215686,
90,0.9450980392156862,0.8588235294117648,
91,1.0,0.7411764705882353,
92,1.0,0.7411764705882353,
93,1.0,0.803921568627451,
94,1.0,0.6627450980392156,
95,1.0,0.5921568627450979,
96,1.0,0.7019607843137254,
97,1.0,0.6784313725490196,
98,1.0,0.5137254901960784,
99,1.0,0.5607843137254902,
100,1.0,0.615686274509804,
101,1.0,0.48235294117647065,
102,1.0,0.41960784313725497,
103,1.0,0.5294117647058822,
104,1.0,0.43529411764705883,
105,1.0,0.2705882352941176,
106,1.0,0.3803921568627451,
107,1.0,0.2549019607843137,
108,1.0,0.15294117647058814,
109,1.0,0.2313725490196079,
110,1.0,0.19999999999999996,
111,1.0,-0.0039215686274509665,
112,1.0,0.06666666666666665,
113,1.0,0.10588235294117654,
114,1.0,0.050980392156862786,
115,1.0,-0.07450980392156858,
116,1.0,-0.0117647058823529,
117,1.0,-0.1843137254901961,
118,1.0,-0.22352941176470587,
119,1.0,-0.14509803921568631,
120,1.0,-0.16862745098039222,
121,1.0,-0.34901960784313724,
122,1.0,-0.28627450980392155,
123,1.0,-0.30980392156862746,
124,1.0,-0.4509803921568627,
125,1.0,-0.44313725490196076,
126,1.0,-0.403921568627451,
127,1.0,-0.5843137254901961,
128,1.0,-0.592156862745098,
129,1.0,-0.4980392156862745,
130,1.0,-0.615686274509804,
131,1.0,-0.7176470588235294,
132,1.0,-0.607843137254902,
133,1.0,-0.6627450980392157,
134,0.9921568627450981,-0.8117647058823529,
135,1.0,-0.7647058823529411,
136,1.0,-0.7411764705882353,
137,0.9294117647058824,-0.8745098039215686,
138,0.9450980392156862,-0.8745098039215686,
139,0.968627450980392,-0.8431372549019608,
140,0.8431372549019607,-0.9607843137254902,
141,0.8352941176470587,-0.9843137254901961,
142,0.8901960784313725,-0.9294117647058824,
143,0.8196078431372549,-0.9764705882352941,
144,0.7411764705882353,-1.0,
145,0.7882352941176469,-1.0,
146,0.7019607843137254,-1.0,
147,0.584313725490196,-1.0,
148,0.7176470588235293,-1.0,
149,0.6862745098039216,-1.0,
150,0.46666666666666656,-1.0,
151,0.5372549019607842,-1.0,
152,0.5450980392156863,-1.0,
153,0.3647058823529412,-1.0,
154,0.388235294117647,-1.0,
155,0.44313725490196076,-1.0,
156,0.28627450980392144,-1.0,
157,0.23921568627450984,-1.0,
158,0.3176470588235294,-1.0,
159,0.17647058823529416,-1.0,
160,0.08235294117647052,-1.0,
161,0.1843137254901961,-1.0,
162,0.12941176470588234,-1.0,
163,0.027450980392156765,-1.0,
164,0.04313725490196085,-1.0,
165,0.050980392156862786,-1.0,
166,-0.13725490196078427,-1.0,
167,-0.13725490196078427,-1.0,
168,-0.027450980392156876,-1.0,
169,-0.10588235294117654,-1.0,
170,-0.2705882352941177,-1.0,
171,-0.16862745098039222,-1.0,
172,-0.1843137254901961,-1.0,
173,-0.3176470588235294,-1.0,
174,-0.33333333333333337,-1.0,
175,-0.2705882352941177,-1.0,
176,-0.4745098039215686,-1.0,
177,-0.4745098039215686,-1.0,
178,-0.43529411764705883,-1.0,
179,-0.5686274509803921,-1.0,
180,-0.6,-1.0,
181,-0.5058823529411764,-1.0,
182,-0.615686274509804,-1.0,
183,-0.7411764705882353,-1.0,
184,-0.6549019607843137,-1.0,
185,-0.7254901960784313,-1.0,
186,-0.8431372549019608,-0.9686274509803922,
187,-0.7725490196078432,-1.0,
188,-0.803921568627451,-0.9921568627450981,
189,-0.9058823529411765,-0.9058823529411765,
190,-0.9058823529411765,-0.9215686274509804,
191,-0.8745098039215686,-0.9450980392156862,
192,-1.0,-0.7960784313725491,
193,-1.0,-0.8117647058823529,
194,-0.9686274509803922,-0.8509803921568627,
195,-1.0,-0.7647058823529411,
196,-1.0,-0.7176470588235294,
197,-1.0,-0.7490196078431373,
198,-1.0,-0.7019607843137254,
199,-1.0,-0.6235294117647059,
200,-1.0,-0.6313725490196078,
201,-1.0,-0.6784313725490196,
202,-1.0,-0.5215686274509804,
203,-1.0,-0.4901960784313726,
204,-1.0,-0.5843137254901961,
205,-1.0,-0.4666666666666667,
206,-1.0,-0.3411764705882353,
207,-1.0,-0.4745098039215686,
208,-1.0,-0.3176470588235294,
209,-1.0,-0.1843137254901961,
210,-1.0,-0.2941176470588236,
211,-1.0,-0.13725490196078427,
212,-1.0,-0.05882352941176472,
213,-1.0,-0.14509803921568631,
214,-1.0,-0.06666666666666665,
215,-1.0,0.09019607843137245,
216,-1.0,-0.0039215686274509665,
217,-1.0,0.027450980392156765,
218,-1.0,0.16078431372549007,
219,-1.0,0.16078431372549007,
220,-1.0,0.1450980392156862,
221,-1.0,0.3254901960784313,
222,-1.0,0.3019607843137255,
223,-1.0,0.2549019607843137,
224,-1.0,0.0980392156862746,
225,-1.0,0.3254901960784313,
226,-1.0,0.4039215686274509,
227,-1.0,0.4745098039215687,
228,-1.0,0.5921568627450979,
229,-1.0,0.4980392156862745,
230,-1.0,0.4980392156862745,
231,-1.0,0.6549019607843136,
232,-1.0,0.6470588235294117,
233,-1.0,0.6000000000000001,
234,-1.0,0.7098039215686274,
235,-1.0,0.7647058823529411,
236,-1.0,0.6705882352941177,
237,-1.0,0.7490196078431373,
238,-0.9372549019607843,0.8823529411764706,
239,-1.0,0.803921568627451,
240,-0.9372549019607843,0.8666666666666667,
241,-0.8431372549019608,0.9764705882352942,
242,-0.8980392156862745,0.9294117647058824,
243,-0.8745098039215686,0.9372549019607843,
244,-0.788235294117647,1.0,
245,-0.788235294117647,1.0,
246,-0.803921568627451,1.0,
247,-0.6784313725490196,1.0,
248,-0.6470588235294118,1.0,
249,-0.7490196078431373,1.0,
250,-0.6862745098039216,1.0,
251,-0.5450980392156863,1.0,
252,-0.6235294117647059,1.0,
253,-0.592156862745098,1.0,
254,-0.41960784313725497,1.0,
255,-0.45882352941176474,1.0,
256,-0.5450980392156863,1.0,
257,-0.388235294117647,1.0,
258,-0.3176470588235294,1.0,
259,-0.39607843137254906,1.0,
260,-0.24705882352941178,1.0,
261,-0.17647058823529416,1.0,
262,-0.2705882352941177,1.0,
263,-0.15294117647058825,1.0,
264,-0.03529411764705881,1.0,
265,-0.1215686274509804,1.0,
266,-0.0980392156862745,1.0,
267,0.04313725490196085,1.0,
268,0.0352941176470587,1.0,
269,0.0117647058823529,1.0,
270,0.16862745098039222,1.0,
271,0.1843137254901961,1.0,
272,0.1450980392156862,1.0,
273,0.26274509803921564,1.0,
274,0.3411764705882352,1.0,
275,0.2549019607843137,1.0,
276,0.34901960784313735,1.0,
277,0.46666666666666656,1.0,
278,0.39607843137254894,1.0,
279,0.4039215686274509,1.0,
280,0.5921568627450979,1.0,
281,0.5215686274509803,1.0,
282,0.5372549019607842,1.0,
283,0.6470588235294117,1.0,
284,0.6627450980392156,1.0,
285,0.6392156862745098,1.0,
